fixedX,fixedY,alignmentX,alignmentY
10953.500689338236,2337.5000718060664,945.0,5591.0
11013.000344669115,3429.50008616728,1553.5,5611.0
15212.5,7458.500114889706,3868.5,7915.5
12547.000229779413,3373.000057444853,1549.5,6475.5
7347.000229779412,5759.000172334559,2818.0,3537.0
6555.000287224265,8231.50017233456,4195.0,3050.0
12708.500689338236,4523.000201056985,2192.5,6551.0
10639.000459558823,2724.0000287224266,1147.5,5409.0
11457.50057444853,5635.0,2799.0,5829.5
6798.500114889706,3886.000114889706,1759.0,3238.5
8872.000229779413,6360.000287224265,3171.0,4377.0
6009.500229779412,7214.500229779412,3619.0,2755.0
14837.000804227942,6617.000229779412,3389.0,7716.5
4599.000172334559,3149.0000287224266,1325.0,2010.5
9851.499885110294,7906.000402113971,4054.5,4903.5
16398.500689338234,1710.0000718060662,650.5,8644.5
5450.000287224265,5513.999885110295,2652.5,2457.5
14694.000459558823,6518.500114889706,3341.0,7634.5
11177.000229779413,7355.000287224265,3761.0,5654.5
3384.0000287224266,2743.000057444853,1067.5,1338.5
5298.500114889706,5518.999885110295,2653.0,2379.0
5844.499942555147,6516.500172334559,3225.5,2672.5
10103.999885110294,8877.500287224266,4597.5,5035.5
7489.000172334559,5470.500057444853,2656.0,3605.0
14013.000344669115,2468.4999712775734,1052.5,7303.0
13226.500459558823,8980.0,4706.0,6784.5
7980.0,10528.500114889706,5504.0,3820.5
12084.000459558823,9015.500344669115,4705.0,6138.0
12258.500114889706,3520.5002010569856,1624.5,6312.0
7743.000057444853,5807.000229779412,2847.0,3750.0
10515.0,1889.5000861672795,690.0,5349.0
13385.500344669115,3678.500114889706,1726.5,6931.5
12786.500459558823,7251.500172334559,3724.5,6563.5
8807.000229779413,8719.00017233456,4498.5,4306.0
11481.000114889706,6451.000114889706,3258.0,5840.0
12122.50057444853,4740.000143612133,2304.5,6216.5
5878.500114889706,5598.500114889706,2705.5,2702.5
9256.000114889706,2783.4999712775734,1168.5,4630.5
4815.000143612133,2894.499942555148,1179.0,2136.5
11469.500229779413,4350.500057444853,2079.5,5854.0
14590.50034466912,2092.5000718060664,846.0,7632.0
5392.000229779412,7686.000114889706,3876.0,2405.5
11554.500229779413,7087.000229779412,3619.5,5867.0
7598.500114889706,7473.000344669118,3781.0,3641.5
11204.500229779413,6988.500114889706,3557.0,5674.0
11389.000459558823,7045.0,3594.0,5773.5
14242.50057444853,2044.5000861672795,816.5,7440.0
3461.500172334559,5944.500229779412,2866.0,1343.0
7813.000344669118,4026.000114889706,1853.0,3806.0
7705.500344669118,4373.000201056985,2052.5,3736.0
2260.0000718060664,3505.500057444853,1486.5,693.0
7175.000287224265,8929.00017233456,4601.5,3388.0
5122.500287224265,7198.500114889706,3597.5,2265.0
10211.000114889706,6379.500229779412,3200.5,5118.0
