fixedX,fixedY,alignmentX,alignmentY
12780.00057444853,16972.50057444853,8529.5,6998.5
13299.500229779413,10411.000114889706,4845.0,7307.0
15541.500459558823,5098.500114889706,1863.5,8563.0
7834.000172334559,14983.500689338236,7402.5,4218.0
4553.000201056985,8493.500114889706,3751.5,2386.5
7912.000229779412,19237.50057444853,9791.0,4259.0
6775.500344669118,19134.500229779413,9735.5,3622.0
13642.50057444853,9654.500229779413,4417.5,7487.0
14005.500344669115,7659.500229779412,3300.5,7695.5
13791.500459558823,8027.500287224265,3506.5,7573.5
15075.00057444853,10884.500229779413,5114.0,8284.0
13167.000229779413,14620.00057444853,7204.5,7217.5
15027.50057444853,4208.000057444853,1363.5,8275.0
14413.00034466912,6722.000229779412,2773.0,7922.5
3129.50008616728,7849.500229779412,3392.0,1588.0
6264.000172334559,13460.00057444853,6544.5,3340.0
6144.000172334559,12296.000114889706,5889.0,3275.0
14085.500919117649,18485.00057444853,9376.5,7732.0
13531.500459558823,6743.500114889706,2784.5,7436.0
5933.000344669118,15583.500689338236,7735.0,3150.5
13656.500459558823,9016.00040211397,4064.0,7502.5
2146.00004308364,6798.500114889706,2794.5,1034.5
15361.500459558823,8775.500057444853,3923.5,8455.5
13974.500229779413,13904.500804227942,6805.0,7666.5
15403.000919117649,5109.500229779412,1871.0,8480.0
6327.000229779412,14669.500229779413,7220.5,3378.5
15063.000919117649,3834.000172334559,1154.0,8288.0
15353.000919117649,8734.00017233456,3901.5,8452.0
15462.000804227942,9743.000344669115,4469.0,8509.0
13771.000114889706,19555.00114889706,9973.5,7544.5
12646.500459558823,13222.000804227942,6418.5,6925.5
5880.500344669118,13837.000229779413,6754.5,3121.0
14328.000344669115,8242.000229779413,3625.5,7872.5
4978.000057444853,8242.000229779413,3612.0,2625.0
14098.500114889706,20000.0,10230.0,7735.0
14320.500344669115,8372.5,3703.5,7865.0
6716.000114889706,14362.000804227942,7050.0,3591.5
13760.500919117649,19480.00114889706,9937.0,7541.5
15529.500229779413,4977.000229779412,1798.5,8555.5
